generatedAt,catalogRank,catalogId,marketId,eventId,question,eventTitle,category,probability,volume,volume24h,liquidity,divergence,aiRuleScore,risk,relatedAssetCount,suggestedShadowTrack,polymarketUrl
2026-04-29T02:25:15.520373+00:00,1,608e8b526fc43af4c9f0,558936,30615,Will France win the 2026 FIFA World Cup?,2026 FIFA World Cup Winner ,sports,16.05,22136803.0113,3704270.4913,2125478.3072,-33.95,98,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/2026-fifa-world-cup-winner-595
2026-04-29T02:25:15.520373+00:00,2,c98301d821312bfc4d9c,558934,30615,Will Spain win the 2026 FIFA World Cup?,2026 FIFA World Cup Winner ,sports,15.35,17574133.6874,714360.92,2370835.4575,-34.65,98,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/2026-fifa-world-cup-winner-595
2026-04-29T02:25:15.520373+00:00,3,ac5ae92cb99c6fb5be5d,553866,27830,Will the San Antonio Spurs win the 2026 NBA Finals?,2026 NBA Champion,sports,16.15,24736820.7687,436676.8636,1165395.4415,-33.85,98,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/2026-nba-champion
2026-04-29T02:25:15.520373+00:00,4,ff808a338f3b369e0bec,558935,30615,Will England win the 2026 FIFA World Cup?,2026 FIFA World Cup Winner ,sports,11.05,14508398.2833,358034.9865,3316687.2418,-38.95,98,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/2026-fifa-world-cup-winner-595
2026-04-29T02:25:15.520373+00:00,5,f4756826b263bd1c74b7,566146,33506,Will Atletico Madrid win the 2025–26 Champions League?,UEFA Champions League Winner ,sports,11.25,23901293.268,204046.9684,1941510.0187,-38.75,98,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/uefa-champions-league-winner
2026-04-29T02:25:15.520373+00:00,6,9ce348bfaeca45a26ede,561234,31552,Will Marco Rubio win the 2028 US Presidential Election?,Presidential Election Winner 2028,politics,11.25,9472509.4009,52379.5713,301912.0626,-38.75,97,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/presidential-election-winner-2028
2026-04-29T02:25:15.520373+00:00,7,ff89cfd546a40bfb9f37,567687,34050,Russia x Ukraine ceasefire by end of 2026?,Russia x Ukraine ceasefire by end of 2026?,sports,25.5,14502613.9855,49029.6888,477986.7672,-24.5,97,low,1,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/russia-x-ukraine-ceasefire-before-2027
2026-04-29T02:25:15.520373+00:00,8,0edfd7a71c3968346ad5,561229,31552,Will JD Vance win the 2028 US Presidential Election?,Presidential Election Winner 2028,politics,18.95,10745237.2472,22389.526,465728.6142,-31.05,97,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/presidential-election-winner-2028
2026-04-29T02:25:15.520373+00:00,9,f0f14a77d9b2d94eda5f,553862,27830,Will the Boston Celtics win the 2026 NBA Finals?,2026 NBA Champion,sports,14.85,12317568.8817,461304.6175,235033.9675,-35.15,96,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/2026-nba-champion
2026-04-29T02:25:15.520373+00:00,10,90936c89b001daa64fa2,561230,31552,Will Gavin Newsom win the 2028 US Presidential Election?,Presidential Election Winner 2028,politics,17.65,16127380.2394,19348.726,336760.6691,-32.35,96,low,0,poly_high_liquidity_divergence_shadow_v1,https://polymarket.com/event/presidential-election-winner-2028
